customer_id,tenure_months,monthly_charges,total_charges,contract,internet_service,support_tickets,satisfaction_score,signup_date,currency,churn
CUST-00053,52,63.29,3377.11,Month-to-month,Fiber,2,8.0,2022-07-24,INR,1
CUST-00054,17,47.59,838.53,Month-to-month,DSL,0,7.0,2020-08-09,INR,0
CUST-00055,43,52.55,2309.35,Two year,No internet,0,10.0,2021-12-17,INR,0
CUST-00056,57,51.01,2798.53,Month-to-month,Fiber,2,8.0,2021-06-07,INR,1
CUST-00057,63,18.0,1121.29,Month-to-month,Fiber,2,4.0,2020-08-16,INR,0
CUST-00058,62,87.37,5582.42,Two year,Fiber,1,5.0,2024-04-10,INR,0
CUST-00059,69,77.46,5223.86,Month-to-month,Fiber,0,,2021-01-12,INR,0
CUST-00060,10,60.29,603.84,Month-to-month,DSL,0,10.0,2020-03-03,INR,0
CUST-00061,56,88.01,4989.55,Two year,DSL,4,5.0,2020-03-10,INR,0
CUST-00062,34,74.64,2648.62,Month-to-month,DSL,1,7.0,2022-08-14,INR,0
CUST-00063,49,73.17,3726.59,Two year,DSL,2,2.0,2019-01-25,INR,1
CUST-00064,20,18.0,369.86,One year,DSL,0,,2022-11-15,INR,0
CUST-00065,2,59.87,119.12,Month-to-month,DSL,0,6.0,2023-06-10,INR,0
CUST-00066,6,76.71,473.09,Month-to-month,Fiber,2,7.0,2023-10-08,INR,0
CUST-00067,70,100.41,7143.0,Two year,Fiber,2,10.0,2024-05-08,INR,0
CUST-00068,64,105.49,6721.39,Month-to-month,Fiber,2,6.0,2022-09-10,INR,0
CUST-00069,22,999.99,2207.37,Month-to-month,DSL,2,4.0,2023-02-21,INR,1
CUST-00070,31,39.44,1241.28,Two year,DSL,4,1.0,2021-01-19,INR,1
CUST-00071,18,18.0,316.78,Month-to-month,Fiber,0,4.0,2024-04-13,INR,1
CUST-00072,11,77.55,885.79,Two year,DSL,1,9.0,2021-06-03,INR,1
CUST-00073,61,65.61,3973.14,One year,DSL,1,4.0,2019-07-12,INR,1
CUST-00074,48,86.18,4211.9,One year,DSL,2,2.0,2021-08-08,INR,1
CUST-00075,6,62.23,356.45,Month-to-month,Fiber,2,2.0,2022-06-04,INR,0
CUST-00076,15,69.83,1047.23,One year,DSL,2,3.0,2022-03-23,INR,0
CUST-00077,41,32.0,1275.23,Two year,DSL,3,3.0,2021-08-23,INR,0
CUST-00078,65,74.86,4725.61,Month-to-month,DSL,3,7.0,2021-11-30,INR,1
CUST-00079,71,55.21,3696.57,Month-to-month,Fiber,3,2.0,2019-10-14,INR,0
CUST-00080,16,72.7,1238.38,Month-to-month,DSL,1,7.0,2019-07-25,INR,0
CUST-00081,44,75.11,3291.05,Month-to-month,DSL,0,5.0,2019-01-25,INR,0
CUST-00082,3,62.42,188.66,Month-to-month,Fiber,0,10.0,2023-03-27,INR,0
CUST-00083,13,71.97,967.0,Two year,No internet,3,10.0,2023-08-10,INR,1
CUST-00084,15,64.7,967.25,Month-to-month,Fiber,1,10.0,2020-12-29,INR,1
CUST-00085,32,81.7,2655.47,Month-to-month,DSL,1,1.0,2024-02-02,INR,1
CUST-00086,25,76.04,1824.06,Month-to-month,Fiber,1,10.0,2022-06-03,INR,0
CUST-00087,52,52.96,2770.95,Month-to-month,DSL,2,4.0,2020-12-05,INR,0
CUST-00088,34,52.07,1748.91,Month-to-month,Fiber,3,8.0,2020-09-14,INR,0
CUST-00089,25,103.36,2623.54,Month-to-month,Fiber,0,6.0,2023-04-19,INR,0
CUST-00090,65,62.76,4102.69,Month-to-month,Fiber,2,4.0,2021-06-13,INR,0
CUST-00091,45,86.82,3745.57,One year,Fiber,3,4.0,2019-07-30,INR,0
CUST-00092,50,73.65,3478.91,Month-to-month,DSL,0,,2024-06-14,INR,0
CUST-00093,53,52.59,2703.14,Month-to-month,DSL,2,3.0,2021-02-03,INR,0
CUST-00094,25,48.52,1240.14,Two year,Fiber,2,2.0,2019-01-29,INR,0
CUST-00095,64,67.64,4385.28,One year,DSL,1,10.0,2019-06-04,INR,0
CUST-00096,2,70.65,143.04,Month-to-month,Fiber,1,,2022-07-02,INR,1
CUST-00097,22,78.52,1623.21,Two year,Fiber,2,4.0,2020-03-08,INR,1
CUST-00098,12,37.13,409.72,One year,DSL,1,10.0,2020-01-13,INR,1
CUST-00099,1,51.92,50.96,Month-to-month,DSL,2,9.0,2022-07-14,INR,1
CUST-00100,71,999.99,4422.98,Month-to-month,Fiber,3,,2024-03-24,INR,0
CUST-00101,7,100.22,688.98,Month-to-month,DSL,2,4.0,2022-11-02,INR,1
CUST-00102,33,18.0,600.43,Month-to-month,No internet,0,,2023-06-30,INR,0
CUST-00103,59,74.66,4383.13,Month-to-month,No internet,2,10.0,2022-07-07,INR,0
CUST-00104,50,53.12,2561.96,Month-to-month,DSL,0,2.0,2023-07-23,INR,0
CUST-00105,61,74.49,4424.67,Two year,No internet,2,2.0,2024-04-19,INR,0
CUST-00106,4,54.18,217.68,One year,No internet,1,6.0,2023-08-03,INR,1
CUST-00107,36,73.02,2634.82,Month-to-month,DSL,1,6.0,2023-12-31,INR,0
CUST-00108,3,99.42,297.64,Month-to-month,Fiber,0,2.0,2020-11-18,INR,0
CUST-00109,14,72.79,1088.51,Month-to-month,DSL,1,4.0,2020-09-23,INR,0
CUST-00110,61,74.53,4511.04,Month-to-month,DSL,3,8.0,2021-10-09,INR,0
CUST-00111,6,73.2,440.83,Month-to-month,DSL,0,1.0,2021-08-05,INR,1
CUST-00112,42,48.49,1975.93,Month-to-month,Fiber,2,10.0,2024-01-19,INR,0
CUST-00113,2,76.95,152.26,Two year,No internet,3,8.0,2022-09-07,INR,1
CUST-00114,22,60.42,1350.25,Month-to-month,Fiber,0,5.0,2021-07-31,INR,0
CUST-00115,67,47.14,3212.34,One year,No internet,2,6.0,2023-10-30,INR,0
CUST-00116,23,64.15,1468.57,One year,Fiber,3,1.0,2024-02-23,INR,0
CUST-00117,22,60.0,1335.71,Month-to-month,DSL,1,9.0,2020-11-07,INR,1
CUST-00118,7,81.58,572.03,One year,DSL,2,4.0,2023-06-16,INR,1
CUST-00119,56,64.06,3385.01,Month-to-month,Fiber,2,9.0,2020-07-05,INR,0
CUST-00120,13,53.35,625.42,Month-to-month,Fiber,1,1.0,2021-09-03,INR,0
CUST-00121,36,97.03,3735.27,Month-to-month,DSL,0,7.0,2019-06-08,INR,1
CUST-00122,2,86.74,177.8,Two year,DSL,0,5.0,2021-11-20,INR,0
CUST-00123,2,92.93,185.54,Month-to-month,No internet,2,7.0,2023-08-28,INR,1
CUST-00124,60,78.37,4457.02,Two year,DSL,1,,2021-11-05,INR,0
CUST-00125,1,62.59,60.2,Month-to-month,No internet,2,1.0,2019-02-20,INR,0
CUST-00126,34,55.78,1973.67,Month-to-month,Fiber,3,10.0,2020-06-21,INR,0
CUST-00127,31,58.85,1671.75,Two year,DSL,2,3.0,2022-10-20,INR,0
CUST-00128,10,85.85,850.15,One year,DSL,0,3.0,2020-11-30,INR,1
CUST-00129,46,67.46,3184.02,Month-to-month,Fiber,1,6.0,2024-05-09,INR,0
CUST-00130,53,32.38,1723.51,Two year,DSL,1,,2021-05-05,INR,0
CUST-00131,70,64.14,4591.47,One year,DSL,1,1.0,2020-03-19,INR,0
CUST-00132,14,33.85,472.03,Month-to-month,DSL,0,,2021-12-02,INR,1
CUST-00133,66,68.65,4856.23,One year,No internet,3,5.0,2022-08-31,INR,0
CUST-00134,5,38.52,186.66,One year,DSL,0,4.0,2023-10-18,INR,0
CUST-00135,11,37.19,392.37,Month-to-month,Fiber,0,6.0,2020-02-17,INR,1
CUST-00136,43,67.61,2931.17,One year,DSL,2,3.0,2021-08-27,INR,0
CUST-00137,62,63.28,4091.62,Two year,DSL,0,7.0,2024-02-21,INR,1
CUST-00138,64,28.44,1817.11,One year,DSL,2,3.0,2022-01-22,INR,0
CUST-00139,53,81.46,4453.25,One year,No internet,0,7.0,2021-03-29,INR,0
CUST-00140,2,112.59,221.59,Two year,DSL,0,,2022-11-14,INR,0
CUST-00141,30,32.41,937.73,One year,DSL,1,9.0,2019-08-22,INR,0
CUST-00142,58,105.04,6348.18,Month-to-month,DSL,0,3.0,2023-05-18,INR,0
CUST-00143,38,49.87,1984.24,One year,Fiber,1,10.0,2020-02-15,INR,1
CUST-00144,14,54.13,792.68,One year,Fiber,5,2.0,2024-04-29,INR,1
CUST-00145,49,61.06,2952.6,One year,Fiber,2,10.0,2024-04-22,INR,0
CUST-00146,7,33.2,224.35,Month-to-month,DSL,0,2.0,2023-01-17,INR,1
CUST-00147,50,93.58,4514.86,Month-to-month,No internet,2,10.0,2019-03-30,INR,0
CUST-00148,2,75.84,150.66,Month-to-month,Fiber,2,8.0,2022-04-12,INR,0
CUST-00149,26,48.47,1282.24,Two year,No internet,0,1.0,2023-01-17,INR,0
CUST-00150,21,58.9,1255.79,Month-to-month,Fiber,1,5.0,2022-12-05,INR,0
CUST-00151,67,31.64,2028.66,Month-to-month,Fiber,2,3.0,2019-09-21,INR,0
CUST-00152,52,57.35,2999.66,Two year,Fiber,3,4.0,2019-09-02,INR,0
CUST-00153,47,85.6,4025.34,Month-to-month,DSL,2,1.0,2022-11-21,INR,1
CUST-00154,36,27.26,984.01,Month-to-month,No internet,4,8.0,2023-01-18,INR,0
CUST-00155,21,55.4,1162.57,Month-to-month,DSL,2,8.0,2022-12-11,INR,0
CUST-00156,61,68.23,4136.82,Month-to-month,Fiber,1,7.0,2020-03-14,INR,0
CUST-00157,68,88.06,6094.66,One year,DSL,1,,2021-08-25,INR,1
CUST-00158,16,94.69,1520.81,Month-to-month,Fiber,0,5.0,2023-10-27,INR,0
CUST-00159,18,54.94,995.61,Month-to-month,Fiber,0,7.0,2019-08-22,INR,1
CUST-00160,23,48.71,1097.11,Month-to-month,DSL,2,7.0,2023-10-11,INR,0
CUST-00161,34,74.91,2577.18,Month-to-month,Fiber,2,1.0,2019-08-30,INR,0
CUST-00162,19,57.01,1079.25,Two year,DSL,0,4.0,2022-06-10,INR,0
CUST-00163,29,58.18,1580.16,Month-to-month,No internet,2,5.0,2021-05-24,INR,0
CUST-00164,70,88.76,6303.34,Month-to-month,Fiber,2,5.0,2024-02-20,INR,1
CUST-00165,27,102.17,2736.72,One year,DSL,1,2.0,2020-08-19,INR,1
CUST-00166,67,70.85,4878.86,Month-to-month,Fiber,2,7.0,2019-04-13,INR,0
CUST-00167,36,60.77,2177.08,Month-to-month,Fiber,1,6.0,2021-09-22,INR,0
CUST-00168,25,77.57,1933.68,Month-to-month,Fiber,2,1.0,2019-06-01,INR,1
CUST-00169,67,23.47,1582.48,One year,No internet,1,6.0,2022-12-30,INR,0
CUST-00170,31,64.6,2001.89,Month-to-month,Fiber,2,5.0,2021-09-18,INR,1
CUST-00171,55,41.67,2261.12,Month-to-month,DSL,2,,2021-05-02,INR,0
CUST-00172,23,117.57,2558.64,Month-to-month,Fiber,2,4.0,2020-02-01,INR,1
CUST-00173,71,80.84,6056.93,Month-to-month,Fiber,2,1.0,2019-08-30,INR,0
CUST-00174,54,68.11,3503.74,Month-to-month,No internet,1,4.0,2019-02-14,INR,0
CUST-00175,63,60.72,3786.17,Two year,Fiber,3,,2022-01-19,INR,0
CUST-00176,3,18.0,55.06,Two year,No internet,1,,2024-04-03,INR,0
CUST-00177,8,80.68,652.8,Two year,DSL,2,9.0,2020-07-20,INR,0
CUST-00178,5,100.85,512.83,Month-to-month,DSL,1,7.0,2021-04-17,INR,0
CUST-00179,38,48.97,1903.8,One year,DSL,2,,2020-01-25,INR,0
CUST-00180,29,80.03,2408.83,One year,DSL,2,8.0,2023-08-08,INR,1
CUST-00181,70,80.9,5713.51,One year,DSL,1,1.0,2023-02-20,INR,0
CUST-00182,18,30.94,605.48,Two year,No internet,0,8.0,2020-07-24,INR,0
CUST-00183,12,85.59,995.85,Month-to-month,Fiber,1,1.0,2024-04-14,INR,0
CUST-00184,61,94.81,5822.86,Month-to-month,Fiber,0,7.0,2022-06-17,INR,0
CUST-00185,22,70.03,1523.98,One year,DSL,1,8.0,2021-10-27,INR,0
CUST-00186,53,63.61,3316.19,Month-to-month,Fiber,2,1.0,2019-05-19,INR,0
CUST-00187,21,82.34,1744.04,Month-to-month,DSL,1,4.0,2020-03-31,INR,1
CUST-00188,39,31.1,1265.96,Two year,No internet,0,3.0,2022-05-23,INR,0
CUST-00189,6,67.05,393.73,Month-to-month,DSL,1,1.0,2023-08-15,INR,1
CUST-00190,47,88.2,4056.98,Two year,Fiber,2,7.0,2022-11-13,INR,1
CUST-00191,66,37.67,2540.26,Two year,Fiber,0,5.0,2022-01-29,INR,0
CUST-00192,50,86.84,4412.86,Month-to-month,DSL,2,2.0,2022-05-19,INR,0
CUST-00193,63,55.8,3721.87,One year,DSL,1,7.0,2022-05-27,INR,0
CUST-00194,56,19.22,1109.51,Month-to-month,DSL,1,6.0,2021-08-19,INR,0
CUST-00195,41,62.67,2587.17,Month-to-month,DSL,0,6.0,2023-08-31,INR,0
CUST-00196,66,43.62,2850.47,Two year,DSL,0,1.0,2023-01-16,INR,0
CUST-00197,35,72.02,2536.98,Two year,No internet,1,,2022-01-16,INR,0
CUST-00198,11,39.21,429.04,One year,DSL,1,9.0,2020-03-26,INR,0
CUST-00199,40,88.11,3380.07,Month-to-month,DSL,4,5.0,2022-10-22,INR,0
CUST-00200,45,48.75,2194.29,Two year,Fiber,0,2.0,2022-09-11,INR,0
CUST-00201,13,72.84,941.95,One year,DSL,0,8.0,2023-10-01,INR,1
CUST-00202,11,51.93,567.24,Two year,Fiber,0,5.0,2020-07-27,INR,1
CUST-00203,48,57.9,2743.41,One year,Fiber,0,1.0,2023-09-13,INR,0
CUST-00204,32,91.22,3067.04,Month-to-month,Fiber,2,2.0,2019-05-11,INR,1
CUST-00205,35,69.74,2491.89,One year,DSL,1,2.0,2020-08-27,INR,1
CUST-00206,56,56.31,3241.99,Two year,Fiber,0,,2021-01-18,INR,0
CUST-00207,49,37.47,1802.56,Two year,DSL,2,6.0,2021-01-02,INR,1
CUST-00208,64,90.52,5615.55,One year,Fiber,3,,2023-02-14,INR,0
CUST-00209,12,81.12,965.18,Month-to-month,Fiber,2,7.0,2019-09-02,INR,1
CUST-00210,54,57.82,3145.14,Two year,No internet,0,,2019-11-28,INR,0
CUST-00211,39,70.35,2715.23,Month-to-month,DSL,2,8.0,2020-12-26,INR,0
CUST-00212,3,42.35,126.33,Month-to-month,Fiber,1,,2023-03-31,INR,1
CUST-00213,6,42.67,263.4,Month-to-month,Fiber,2,1.0,2022-09-18,INR,0
CUST-00214,26,46.82,1228.25,Month-to-month,DSL,1,3.0,2020-12-15,INR,0
CUST-00215,46,72.78,3249.05,Two year,DSL,2,3.0,2021-02-07,INR,0
CUST-00216,12,71.51,847.1,Month-to-month,DSL,0,9.0,2021-09-10,INR,1
CUST-00217,39,48.6,1858.01,Two year,Fiber,2,10.0,2019-06-10,INR,0
CUST-00218,71,81.23,5798.64,Month-to-month,Fiber,1,3.0,2019-05-20,INR,0
CUST-00219,11,82.26,873.17,One year,Fiber,1,4.0,2019-12-10,INR,1
CUST-00220,11,68.8,752.74,Month-to-month,DSL,2,,2019-12-01,INR,0
CUST-00221,69,87.84,6186.9,Month-to-month,Fiber,2,10.0,2019-10-03,INR,1
CUST-00222,18,58.68,1057.15,Month-to-month,No internet,0,10.0,2022-08-25,INR,0
CUST-00223,63,62.51,3830.16,Two year,DSL,1,2.0,2024-02-13,INR,0
CUST-00224,26,75.4,1924.15,Month-to-month,Fiber,1,6.0,2024-01-03,INR,0
CUST-00225,54,64.25,3482.44,Month-to-month,Fiber,3,8.0,2021-10-25,INR,0
CUST-00226,5,82.47,418.33,One year,DSL,3,3.0,2020-06-17,INR,1
CUST-00227,45,37.44,1727.11,Month-to-month,No internet,0,7.0,2022-01-29,INR,0
CUST-00228,62,96.37,5948.91,Month-to-month,Fiber,0,5.0,2022-10-08,INR,0
CUST-00229,25,47.81,1148.02,Month-to-month,Fiber,3,10.0,2023-10-28,INR,0
CUST-00230,46,61.38,2944.18,Two year,Fiber,0,9.0,2023-10-26,INR,0
CUST-00231,16,34.69,560.0,Month-to-month,DSL,1,1.0,2019-05-04,INR,1
CUST-00232,12,78.2,949.83,Month-to-month,No internet,2,9.0,2023-08-20,INR,1
CUST-00233,1,93.02,93.87,Two year,DSL,1,,2022-06-29,INR,0
CUST-00234,36,88.56,3088.93,Two year,Fiber,0,,2024-03-18,INR,1
CUST-00235,38,83.33,3136.21,One year,No internet,3,7.0,2022-05-08,INR,1
CUST-00236,6,30.74,185.86,Month-to-month,DSL,3,6.0,2019-08-05,INR,1
CUST-00237,17,47.79,837.6,Two year,No internet,2,4.0,2023-03-03,INR,0
CUST-00238,44,54.82,2416.43,Month-to-month,Fiber,1,4.0,2022-08-29,INR,0
CUST-00239,26,44.44,1047.29,Month-to-month,Fiber,0,6.0,2019-08-17,INR,0
CUST-00240,17,89.7,1513.86,Month-to-month,Fiber,0,1.0,2020-08-06,INR,0
CUST-00241,1,69.06,69.79,Month-to-month,Fiber,2,1.0,2019-10-03,INR,0
CUST-00242,3,64.46,200.89,Month-to-month,Fiber,1,5.0,2019-03-27,INR,0
CUST-00243,46,75.73,3557.92,Two year,DSL,2,6.0,2022-05-23,INR,0
CUST-00244,9,44.06,426.16,Month-to-month,DSL,0,3.0,2021-09-25,INR,1
CUST-00245,60,45.02,2816.62,Two year,Fiber,0,2.0,2021-03-09,INR,1
CUST-00246,40,45.61,1898.16,Month-to-month,No internet,1,8.0,2024-03-29,INR,0
CUST-00247,18,75.95,1405.77,One year,DSL,3,6.0,2023-11-15,INR,1
CUST-00248,46,72.52,3197.57,Month-to-month,DSL,1,1.0,2020-11-21,INR,1
CUST-00249,12,77.72,956.34,Month-to-month,DSL,2,,2023-11-07,INR,1
CUST-00250,24,88.72,2167.57,Month-to-month,DSL,0,5.0,2020-06-07,INR,0
CUST-00251,36,35.14,1245.08,Month-to-month,Fiber,1,1.0,2022-09-08,INR,0
CUST-00252,46,52.67,2465.46,Month-to-month,No internet,0,4.0,2024-06-04,INR,1
CUST-00253,10,68.25,691.06,One year,Fiber,1,4.0,2020-03-07,INR,0
CUST-00254,25,35.33,870.93,Two year,Fiber,4,5.0,2022-09-05,INR,0
CUST-00255,7,53.29,371.65,Month-to-month,DSL,2,6.0,2023-08-28,INR,1
CUST-00256,10,87.31,866.2,Month-to-month,DSL,0,5.0,2019-11-11,INR,1
CUST-00257,16,89.26,1438.03,Month-to-month,Fiber,0,8.0,2022-11-26,INR,1
CUST-00258,23,88.69,2013.89,Two year,DSL,1,10.0,2019-02-11,INR,0
CUST-00259,65,65.95,4356.83,One year,Fiber,2,,2024-05-17,INR,0
CUST-00260,29,999.99,1649.19,One year,DSL,0,7.0,2019-06-14,INR,0
CUST-00261,8,88.75,703.99,One year,No internet,1,4.0,2022-02-17,INR,0
CUST-00262,65,56.8,3505.4,Month-to-month,No internet,0,4.0,2019-06-14,INR,0
CUST-00263,41,72.44,2927.01,Two year,DSL,6,1.0,2021-10-21,INR,0
CUST-00264,9,94.16,860.58,Two year,DSL,5,4.0,2023-11-09,INR,0
CUST-00265,6,56.91,341.68,One year,DSL,0,,2021-08-10,INR,0
CUST-00266,7,51.57,359.79,Month-to-month,Fiber,1,5.0,2022-11-06,INR,0
CUST-00267,65,64.79,4220.04,Month-to-month,No internet,2,10.0,2023-04-22,INR,0
CUST-00268,40,78.16,3273.61,Month-to-month,DSL,1,10.0,2019-12-30,INR,1
CUST-00269,49,75.61,3581.93,Month-to-month,DSL,1,10.0,2020-02-17,INR,0
CUST-00270,69,68.43,4847.42,Month-to-month,No internet,4,6.0,2021-05-16,INR,0
CUST-00271,29,77.24,2138.32,Two year,DSL,1,7.0,2021-06-24,INR,1
CUST-00272,65,29.81,1910.48,Month-to-month,Fiber,1,10.0,2021-06-17,INR,0
CUST-00273,29,46.1,1343.46,Month-to-month,Fiber,2,7.0,2021-12-30,INR,0
CUST-00274,50,68.59,3341.87,Month-to-month,DSL,3,3.0,2023-09-24,INR,1
CUST-00275,59,44.57,2645.81,Month-to-month,No internet,0,1.0,2022-03-23,INR,0
CUST-00276,5,35.48,181.28,One year,DSL,1,6.0,2024-04-30,INR,0
CUST-00277,53,38.43,1963.85,Month-to-month,Fiber,4,6.0,2023-07-30,INR,0
CUST-00278,58,44.8,2592.37,Two year,DSL,1,8.0,2019-01-18,INR,0
CUST-00279,69,61.07,4166.23,One year,Fiber,1,8.0,2020-11-20,INR,0
CUST-00280,49,42.5,1961.27,Two year,DSL,0,9.0,2019-02-23,INR,0
CUST-00281,35,70.17,2442.17,Two year,DSL,1,9.0,2024-05-31,INR,0
CUST-00282,11,102.32,1098.58,Month-to-month,Fiber,2,2.0,2022-05-11,INR,0
CUST-00283,55,61.75,3532.69,Month-to-month,DSL,1,,2023-12-28,INR,0
CUST-00284,34,93.04,3080.27,Month-to-month,Fiber,1,5.0,2019-04-20,INR,1
CUST-00285,58,71.35,4349.29,Month-to-month,DSL,1,10.0,2023-12-25,INR,0
CUST-00286,4,40.36,158.86,One year,DSL,3,9.0,2021-04-08,INR,0
CUST-00287,25,59.36,1570.29,Month-to-month,No internet,2,3.0,2021-05-12,INR,0
CUST-00288,57,43.4,2513.83,One year,Fiber,2,7.0,2022-06-29,INR,0
CUST-00289,44,81.89,3652.22,Month-to-month,Fiber,0,6.0,2022-06-09,INR,0
CUST-00290,52,39.63,2110.57,Month-to-month,DSL,1,2.0,2021-10-29,INR,1
CUST-00291,42,94.1,4059.18,One year,Fiber,2,,2019-12-23,INR,0
CUST-00292,58,77.72,4697.53,Month-to-month,DSL,1,,2020-01-07,INR,1
CUST-00293,59,20.51,1272.99,Month-to-month,Fiber,0,4.0,2020-05-16,INR,0
CUST-00294,54,82.26,4395.84,Month-to-month,Fiber,1,6.0,2020-07-27,INR,0
CUST-00295,48,99.17,4581.63,Two year,Fiber,1,6.0,2019-07-14,INR,0
CUST-00296,19,47.61,832.08,One year,DSL,3,1.0,2021-12-15,INR,1
CUST-00297,6,86.68,514.04,Month-to-month,Fiber,0,1.0,2021-08-25,INR,0
CUST-00298,57,25.44,1483.15,Month-to-month,Fiber,2,5.0,2019-11-02,INR,0
CUST-00299,25,70.55,1783.77,Month-to-month,Fiber,2,9.0,2022-05-14,INR,1
CUST-00300,18,28.45,513.87,Month-to-month,DSL,1,5.0,2024-02-03,INR,1
CUST-00301,1,75.61,74.82,One year,Fiber,1,,2022-12-31,INR,0
CUST-00302,10,25.66,251.67,Month-to-month,Fiber,5,,2020-05-22,INR,1
CUST-00303,3,18.0,53.54,Two year,DSL,2,6.0,2020-02-15,INR,0
CUST-00304,28,73.71,2087.96,Two year,DSL,1,6.0,2023-08-17,INR,0
CUST-00305,22,115.33,2402.94,One year,Fiber,1,3.0,2020-12-25,INR,0
CUST-00306,36,51.9,1909.26,Month-to-month,No internet,1,6.0,2020-01-27,INR,1
CUST-00307,41,83.26,3264.3,One year,Fiber,2,2.0,2022-01-25,INR,0
